CompanyName,Symbol,MarketCapitalization(%),StockPrice(Rs)
RELIANCE IND.,RELIANCEEQ,10.2,2585
TCS,TCSEQ,4.5,3795
HDFC Bank,HDFCBANKEQ,15.2,1710
ICICI Bank,ICICIBANKEQ,8.2,996
INFOSYS,INFYEQ,6.4,1543
BHARTI AIRTEL,BHARTIARTLEQ,3.3,1033
HINDUSTAN UNILEVER,HINDUNILVREQ,2.8,2663
ITC,ITCEQ,6.8,462
SBI,SBINEQ,2.9,642
L&T,LTEQ,5.7,3527
BAJAJ FINANCE,BAJAJFINANCEEQ,2.3,7327
HCL TECHNOLOGIES,HCLTECHEQ,1.8,1466
KOTAK MAHINDRA BANK,KOTAKBANKEQ,3.3,1908
AXIS BANK,AXISBANKEQ,3.7,1103
TITAN,TITANEQ,1.8,3676
MARUTI SUZUKI,MARUTIEQ,1.7,10299
ASIAN PAINTS,ASIANPAINTEQ,1.8,3402
SUN PHARMA,SUNPHARMAEQ,1.6,1260
NTPC,NTPCEQ,1.7,311
BAJAJ FINSERV,BAJAJFINSVEQ,1.2,1685
ULTRATECH CEMENT,ULTRACEMCOEQ,1.4,10503
NESTLE,NESTLEINDEQ,1.1,26505
TATA MOTORS,TATAMOTORSEQ,1.6,780
WIPRO,WIPROEQ,0.8,472
POWER GRID,POWERGRIDEQ,1.3,237
M&M,M&MEQ,2.0,1726
JSW STEEL,JSWSTEELEQ,1.4,880
TATA STEEL,TATASTEELEQ,1.3,139
TECH MAHINDRA,TECHMEQ,0.9,1273
INDUSIND BANK,INDUSINDBKEQ,1.2,1598
