CompanyName,Symbol,MarketCapitalization(%),StockPrice($),Allocations,Closeness ($)
Apple Inc,AAPL,7.42,194.73,14.0,44.972377329783285
Microsoft Corp,MSFT,7.18,374.64,7.0,27.957367820464242
Amazon.com Inc,AMZN,3.45,147.67,8.0,65.3117383035376
NVIDIA Corp,NVDA,3.03,476.86,2.0,141.18300494484583
Alphabet Inc Class A,GOOGL,2.07,132.56,6.0,47.356957017877676
Meta Platforms Inc Class A,META,1.91,334.43,2.0,21.326382655001794
Alphabet Inc. Class C,GOOG,1.78,133.78,5.0,25.68965386078355
Tesla Inc,TSLA,1.74,237.21,3.0,82.87381894256396
Berkshire Hathaway Inc,BRK.B,1.66,359.92,2.0,119.9921491061242
UnitedHealth Group Inc,UNH,1.31,548.44,1.0,75.06609357170038
Eli Lilly & Co,LLY,1.23,584.2,1.0,139.7344237352604
JPMorgan Chase & Co,JPM,1.19,160.61,3.0,51.81858881704068
Broadcom Inc.,AVGO,1.07,1073.75,0.0,386.6489159376188
Visa Inc. Class A,V,1.06,260.03,1.0,123.00537466717407
Exxon Mobil Corp,XOM,1.04,98.06,4.0,16.431707873716277
Johnson & Johnson,JNJ,0.96,155.11,2.0,36.67996196272361
Mastercard Inc. Class A,MA,0.89,423.08,1.0,101.47482693039171
Procter & Gamble Co.,PG,0.88,146.47,2.0,25.051631799163545
Home Depot Inc.,HD,0.85,333.85,1.0,26.69899201217197
Adobe Inc.,ADBE,0.72,633.43,0.0,260.17497147204256
Costco Wholesale Corp,COST,0.7,629.53,0.0,252.9478889311525
AbbVie Inc.,ABBV,0.68,153.83,2.0,61.93919360973763
Merck & Co. Inc,MRK,0.68,104.33,2.0,37.0608063902626
Chevron Corp,CVX,0.66,142.65,2.0,46.80627615062758
"Salesforce, Inc.",CRM,0.63,257.86,1.0,30.206899961962762
Coca-Cola Company,KO,0.59,59.43,4.0,24.521065043742908
PepsiCo Inc.,PEP,0.59,168.87,1.0,44.3289349562572
Walmart Inc,WMT,0.56,151.21,1.0,51.14831114492196
Bank of America Corporation,BAC,0.55,30.78,6.0,14.06476987447698
Accenture Plc,ACN,0.55,343.76,1.0,145.015230125523
Advanced Micro Devices,AMD,0.54,137.43,1.0,57.70122860403211
Mcdonald’s Corporation,MCD,0.54,291.56,1.0,96.428771395968
Netflix Inc,NLFX,0.52,463.56,0.0,187.90414606314187
"Cisco Systems, Inc.",CSCO,0.51,49.37,4.0,13.189395207303164
Linde Plc,LIN,0.51,428.24,0.0,184.29060479269683
"Thermo Fisher Scientific, Inc.",TMO,0.49,499.0,0.0,177.06352225180677
Abbott Laboraties,ABT,0.47,107.26,2.0,44.68356028908332
Oracle Corp,ORCL,0.46,100.67,2.0,35.117101559528294
Intel Corp,INTC,0.46,44.09,4.0,10.13710155952839
Comcast,CMCSA,0.45,42.74,4.0,8.350642829973395
