CompanyName,Symbol,MarketCapitalization(%),StockPrice(Rs),Allocations
RELIANCE IND.,RELIANCEEQ,10.0,2456.2,4.0
TCS,TCSEQ,4.5,3626.4,1.0
HDFC Bank,HDFCBANKEQ,15.2,1653.1,9.0
ICICI Bank,ICICIBANKEQ,8.6,1011.0,9.0
INFOSYS,INFYEQ,6.4,1490.6,4.0
BHARTI AIRTEL,BHARTIARTLEQ,3.3,999.5,3.0
HINDUSTAN UNILEVER,HINDUNILVREQ,2.7,2521.4,1.0
ITC,ITCEQ,6.8,449.2,15.0
SBI,SBINEQ,2.8,614.0,5.0
L&T,LTEQ,5.6,3378.8,2.0
BAJAJ FINANCE,BAJAJFINANCEEQ,2.4,7306.9,0.0
HCL TECHNOLOGIES,HCLTECHEQ,1.8,1362.9,1.0
KOTAK MAHINDRA BANK,KOTAKBANKEQ,3.3,1837.4,2.0
AXIS BANK,AXISBANKEQ,3.9,1131.1,3.0
TITAN,TITANEQ,1.8,3634.7,0.0
MARUTI SUZUKI,MARUTIEQ,1.7,10600.9,0.0
ASIAN PAINTS,ASIANPAINTEQ,1.8,3233.2,1.0
SUN PHARMA,SUNPHARMAEQ,1.6,1235.5,1.0
NTPC,NTPCEQ,1.6,285.3,6.0
BAJAJ FINSERV,BAJAJFINSVEQ,1.3,1710.3,1.0
ULTRATECH CEMENT,ULTRACEMCOEQ,1.3,9399.7,0.0
NESTLE,NESTLEINDEQ,1.1,24788.3,0.0
TATA MOTORS,TATAMOTORSEQ,1.5,714.7,2.0
WIPRO,WIPROEQ,0.7,422.0,2.0
POWER GRID,POWERGRIDEQ,1.3,228.6,6.0
M&M,M&MEQ,2.0,1668.6,1.0
JSW STEEL,JSWSTEELEQ,1.4,839.4,2.0
TATA STEEL,TATASTEELEQ,1.3,129.2,10.0
TECH MAHINDRA,TECHMEQ,0.9,1225.7,1.0
INDUSIND BANK,INDUSINDBKEQ,1.2,1509.2,1.0
