CompanyName,Symbol,Prev Allocation,New Allocation,Change in Allocation
RELIANCE IND.,RELIANCEEQ,4.0,8.0,4.0
TCS,TCSEQ,1.0,2.0,1.0
HDFC Bank,HDFCBANKEQ,9.0,18.0,9.0
ICICI Bank,ICICIBANKEQ,9.0,16.0,7.0
INFOSYS,INFYEQ,4.0,8.0,4.0
BHARTI AIRTEL,BHARTIARTLEQ,3.0,6.0,3.0
HINDUSTAN UNILEVER,HINDUNILVREQ,1.0,2.0,1.0
ITC,ITCEQ,15.0,29.0,14.0
SBI,SBINEQ,5.0,9.0,4.0
L&T,LTEQ,2.0,3.0,1.0
BAJAJ FINANCE,BAJAJFINANCEEQ,0.0,1.0,1.0
HCL TECHNOLOGIES,HCLTECHEQ,1.0,2.0,1.0
KOTAK MAHINDRA BANK,KOTAKBANKEQ,2.0,3.0,1.0
AXIS BANK,AXISBANKEQ,3.0,7.0,4.0
TITAN,TITANEQ,0.0,1.0,1.0
MARUTI SUZUKI,MARUTIEQ,0.0,0.0,0.0
ASIAN PAINTS,ASIANPAINTEQ,1.0,1.0,0.0
SUN PHARMA,SUNPHARMAEQ,1.0,3.0,2.0
NTPC,NTPCEQ,6.0,11.0,5.0
BAJAJ FINSERV,BAJAJFINSVEQ,1.0,1.0,0.0
ULTRATECH CEMENT,ULTRACEMCOEQ,0.0,0.0,0.0
NESTLE,NESTLEINDEQ,0.0,0.0,0.0
TATA MOTORS,TATAMOTORSEQ,2.0,4.0,2.0
WIPRO,WIPROEQ,2.0,3.0,1.0
POWER GRID,POWERGRIDEQ,6.0,11.0,5.0
M&M,M&MEQ,1.0,2.0,1.0
JSW STEEL,JSWSTEELEQ,2.0,3.0,1.0
TATA STEEL,TATASTEELEQ,10.0,19.0,9.0
TECH MAHINDRA,TECHMEQ,1.0,1.0,0.0
INDUSIND BANK,INDUSINDBKEQ,1.0,2.0,1.0
